0,2
0,-2
1,2
1,-2
2,2
2,-2
3,2
3,-2
4,2
4,-2
5,2
5,-2
6,2
6,-2
7,2
7,-2
8,2
8,-2
9,2
9,-2
10,2
10,-2
10,2
10,-2
11,2
11,-2
12,2
12,-2
13,2
13,-2
14,2
14,-2
15,2
15,-2
16,2
16,-2
17,2
17,-2
18,2
18,-2
19,2
19,-2
20,2
20,-2
20,2
20,-2
21,2
21,-2
22,2
22,-2
23,2
23,-2
24,2
24,-2
25,2
25,-2
26,2
26,-2
27,2
27,-2
28,2
28,-2
29,2
29,-2
30,2
30,-2
30,2
30,-2
31,2
31,-2
32,2
32,-2
33,2
33,-2
34,2
34,-2
35,2
35,-2
36,2
36,-2
37,2
37,-2
38,2
38,-2
39,2
39,-2
40,2
40,-2
40,2
40,-2
41,2
41,-2
42,2
42,-2
43,2
43,-2
44,2
44,-2
45,2
45,-2
46,2
46,-2
47,2
47,-2
48,2
48,-2
49,2
49,-2
50,2
50,-2
50,2
50,-2
51,2
51,-2
52,2
52,-2
53,2
53,-2
54,2
54,-2
55,2
55,-2
56,2
56,-2
57,2
57,-2
58,2
58,-2
59,2
59,-2
60,2
60,-2
60,2
60,-2
61,2
61,-2
62,2
62,-2
63,2
63,-2
64,2
64,-2
65,2
65,-2
66,2
66,-2
67,2
67,-2
68,2
68,-2
69,2
69,-2
70,2
70,-2
70,2
70,-2
71,2
71,-2
72,2
72,-2
73,2
73,-2
74,2
74,-2
75,2
75,-2
76,2
76,-2
77,2
77,-2
78,2
78,-2
79,2
79,-2
80,2
80,-2
80,2
80,-2
81,2
81,-2
82,2
82,-2
83,2
83,-2
84,2
84,-2
85,2
85,-2
86,2
86,-2
87,2
87,-2
88,2
88,-2
89,2
89,-2
90,2
90,-2
90,2
90,-2
91,2
91,-2
92,2
92,-2
93,2
93,-2
94,2
94,-2
95,2
95,-2
96,2
96,-2
97,2
97,-2
98,2
98,-2
99,2
99,-2
100,2
100,-2
100,2
100,-2
101,2.00004
101,-1.99996
101.999,2.0003
102.001,-1.9997
102.998,2.001
103.002,-1.999
103.996,2.00237
104.004,-1.99763
104.994,2.00462
105.006,-1.99536
105.992,2.00798
106.008,-1.99198
106.989,2.01267
107.011,-1.98727
107.986,2.01891
108.014,-1.98099
108.982,2.02692
109.018,-1.97292
109.978,2.03691
110.022,-1.96284
109.978,2.03691
110.022,-1.96284
110.973,2.04911
111.027,-1.95052
111.968,2.06374
112.032,-1.93575
112.962,2.08102
113.037,-1.91828
113.956,2.10115
114.043,-1.8979
114.949,2.12437
115.049,-1.87438
115.942,2.15089
116.056,-1.8475
116.934,2.18092
117.062,-1.81702
117.926,2.21468
118.07,-1.78272
118.917,2.2524
119.077,-1.74438
119.907,2.29428
120.085,-1.70177
119.907,2.29428
120.085,-1.70177
120.897,2.34054
121.093,-1.65466
121.886,2.3914
122.101,-1.60282
122.875,2.44706
123.11,-1.54603
123.862,2.50776
124.118,-1.48406
124.849,2.57368
125.127,-1.41668
125.835,2.64506
126.135,-1.34366
126.82,2.7221
127.144,-1.26478
127.805,2.80501
128.153,-1.17982
128.788,2.89401
129.161,-1.08854
129.77,2.98929
130.17,-0.990722
129.77,2.98929
130.17,-0.990722
130.752,3.09108
131.178,-0.886137
131.732,3.19958
132.186,-0.774561
132.71,3.31499
133.193,-0.655768
133.688,3.43751
134.2,-0.529536
134.664,3.56737
135.207,-0.39564
135.638,3.70474
136.212,-0.253858
136.611,3.84985
137.218,-0.103968
137.583,4.00288
138.222,0.0542497
138.552,4.16403
139.225,0.221015
139.52,4.3335
140.227,0.396546
139.52,4.3335
140.227,0.396546
140.486,4.51149
141.229,0.581061
